title,author,categories,description,language,pageCount,averageRating,ratingsCount,publisher,publishedDate
The Master and Margarita,Mikhail Bulgakov,Fiction,"Introduction by Simon Franklin; Translation by Michael Glenny ""From the Hardcover edition.""",en,382,,,Ardis Publishers,1995
Pilgrimage,Dorothy Richardson,Literary Criticism,"Pilgrimage, Dorothy Richardson's thirteen-volume opus of autobiographical fiction, follows the entire arc of an independent woman's life in early twentieth-century Britain. It is one of the major works of the modernist period; indeed, it is considered by many a classic of modernist literature. In this book, Joanne Winning argues in this book, however, that Richardson's novels continue to be misunderstood in several important ways. Winning is the first critic to fully explore the issues of lesbian identity in the novels. Examining primary materials, manuscript drafts, and Richardson's previously unstudied correspondence, Winning demonstrates that Pilgrimage contains a carefully constructed, though concealed, subtext of lesbian desire and sexuality. The Pilgrimage of Dorothy Richardson explores the ways in which Richardson used such cultural forms as sexology, psychoanalysis, and other lesbian and modernist literature of her time to create an intertextual dialogue about lesbian identity. Winning suggests that a sustained reading of lesbian sexuality in Pilgrimage is crucial to a more complete understanding of Richardson's long and sometimes difficult work. Winning also places Pilgrimage in the context of other works by female modernist writers that record lesbian identity. This approach, Winning suggests, is the first step toward recognizing and defining a literary movement that can be termed ""lesbian modernism,"" as well as toward a deeper understanding of how lesbian modernist writers helped shape modernist literature as a whole.",en,244,,,Univ of Wisconsin Press,2000
The Joke,Milan Kundera,Fiction,"This is the first novel by the author of ""Immortality"", which won ""The Independent"" Award for Foreign Fiction in 1991. Milan Kundera is also the author of ""The Book of Laughter and Fogetting"".",en,317,,,Gardners Books,1992
No Laughing Matter,Angus Wilson,Fiction,"A panoramic novel that stretches from 1912 to 1967 No Laughing Matter is perhaps Angus Wilson's most autobiographical novel. The novel chronicles the end of the bourgeois way of life as seen through the lives of the six Matthews children and their dysfuntional middle-class family. Their parents - Billy Pop and the Countess - are objects of ridicule to their children who vow never to make their mistakes. Quentin, the eldest, is a socialist who adores women. His fervent views, however, become distilled over the years until he transforms into a cynical TV pundit. Gladys, plump and amenable, is unlucky in love and eventually falls for the charms of a crook. Rupert, the handsome actor, has a successful career until he fails to adapt to the changing theatre. Margaret is a brilliant and highly acclaimed novelist but she becomes bitter as her twin Sukey sinks into domestic bliss, while Marcus, the baby of the family, believes that his career is his life. An ambitious and enriching novel No Laughing Matter is an extraordinary work in its depictions of complex family relationships, where it is just as easy to hate as to love and where everyone struggles to be an individual.",en,511,,,Faber & Faber,2012-03-15
The Third Policeman,Flann O'Brien,Fiction,"FINALISTA PREMI LLIBRETER 2007Muchas son las razones que hacen de El Tercer Policía una novela singular. El título del libro se refiere a un misterioso personaje que posee las llaves para escapar de una serie de extraños sucesos que se irán repitiendo a lo largo de la narración. En su alucinante recorrido por parajes del todo extravagantes nuestro protagonista —que no puede recordar su nombre— tropezará con edificios bidimensionales, bicicletas altamente sexuales, toneladas de ómnium y un científico loco llamado De Selby dispuesto a demostrar que la tierra no es esférica sino «asalchichada». A lo largo de esta insólita e ingeniosa novela, el autor nos introduce a la manera de Lewis Carroll en el territorio de las grandes preguntas dándonos así algunas claves para entenderla:«El infierno da vueltas y más vueltas. Su forma es circular y su naturaleza interminable, repetitiva y muy próxima a lo insoportable».«El Tercer Policía aparecerá de manera sobresaliente en un momento clave... Lo hemos escogido por una razón muy concreta... Quienes compren el libro tendrán muchos más argumentos en su bolsillo para reflexionar sobre esta obra. Tendrán mucho más material sobre el que hacer especulaciones, y habrán leído —que no es cosa de poca importancia— un libro verdaderamente bueno.»Craig Wrightguionista y productor de Perdidos",es,157,,,Nordica,2014-08-16
A Man Asleep,Georges Perec,Biography & Autobiography,"""It's hard to see how anyone is ever going to better this User's Manual to the life of Georges Perec"" - Gilbert Adair, Sunday Times Winner of the Prix Goncourt for Biography, 1994 George Perec (1936-82) was one of the most significant European writers of the twentieth century and undoubtedly the most versatile and innovative writer of his generation. David Bellos's comprehensive biography - which also provides the first full survey of Perec's irreverent, polymathic oeuvre - explores the life of an anguished, comical and endearingly modest man, who worked quietly as an archivist in a medical research library. The French son of Jewish immigrants from Poland, he remained haunted all of his life by his father's death in the war, fighting to defend France, and his mother's in Auschwitz-Birkenau. His acclaimed novel A Void (1969) - written without using the letter ""e"" - has been seen as an attempt to escape from the words ""père"", ""mere"", and even ""George Perec"". His career made an auspicious start with Things: A Story of the Sixties (1965), which won the Prix Renaudot. He then pursued an idiosyncratic and ambitious literary itinerary through the intellectual ferment of Paris in the 1960s and 1970s.He belonged to the Ouvrior de Littérature Potentielle (OuLiPo), a radically inventive group of writers whose members included Raymond Queneau and Italo Calvino. Perec achieved international celebrity with Life A User's Manual (1978), which won the Prix Medicis and was voted Novel of the Decade by the Salon du Livre. He died in his mid-forties after a short illness, leaving a truly puzzling detective novel, 53 Days, incomplete. ""Professor Bellos's book enables us at once to relish the most wilfully bizarre aspects of Perec's oeuvre and to understand the whys and wherefores of his protean nature"" - Jonathan Romney, Literary Review",en,866,,,Random House,2010-11-30
The Birds Fall Down,Rebecca West,Fiction,"Años de leal servicio a la madre Rusia y una ferviente admiración por el zar no han podido evitar que el conde Nikolai Diakonov sea condenado a un vergonzante exilio en París. Como única compáñía le siguen una esposa enferma y su ayudante Alexander Camenski, un entusiasta admirador de Hegel. Parece evidente que el conde ha sido víctima de un complot. Pero ¿quién sería capaz de traicionarle y por qué?Nikolai Diakonov recibe la visita de su nieta Laura, una joven inglesa más centrada en la vida de los demás que en ella misma, con quien deberá tomar un tren que les conducirá hacia el norte de Francia. Durante el trayecto, que durará cuatro largos días, conocerán a Chuvinov, un joven revolucionario hijo de un viejo amigo del conde , quien parece haber corrido la misma suerte que él. Juntos conseguirán deshacer el misterio de tan desagradables sucesos, pero las vidas de estos tres formidables personajes no volverán a ser nunca las mismas. A principios del s.XX el régimen zarista toca a su fin. Una nueva Rusia está a punto de nacer.",es,433,,,Grupo Planeta Spain,2011-09-13
Trawl,B. S. Johnson,Education,"The third issue of the B.S. Johnson Journal: 'The issue with the truth', featuring essays, interviews, peer-reviewed academic papers and creative pieces inspired by the British writer, with contributions from Andrew Robert Hodgson, Ed Sibley, Scott Manley Hadley, Philip Tew, Joanna Norledge, Jeremy Page, Alaska James, Richard Berry, Philip Terry, James Davies, Sue Birchenough, Ali Znaidi, Tim Chapman, Jim Goar, James Riley, Ruth Clemens, Kate Connolly, Joseph Darlington and Andy Miller",en,182,,,Lulu.com,2017-01-18
In Cold Blood,Truman Capote,Biography & Autobiography,"Esta colección reúne, en orden cronológico, todos los ensayos que Capote escribió en vida acerca de personajes tan emblemáticos como Marilyn Monroe, Tennessee Williams, Elizabeth Taylor, Coco Chanel y Marcel Duchamp. Es difícil encontrar un observador tan agudo de su época como lo fue Truman Capote. Su increíble ojo para el detalle, ya fuera para describir a la alta sociedad neoyorquina o a los asesinos más despiadados de Kansas, lo convirtió en un maestro del reportaje y de la no ficción. Esta colección reúne, en orden cronológico, todos los ensayos del autor sobre personajes tan emblemáticos como Charlie Chaplin, Pablo Picasso, Elizabeth Taylor, Coco Chanel y Marcel Duchamp. Capote consiguió captar, dentro del ambiente refinado en el que se movía, la vulnerabilidad de los seres con los que trabó amistad: la infinita tristeza de Tennessee Williams, la peculiar relación entre Marilyn Monroe y Arthur Miller, la generosidad del bastardeado Ezra Pound, las andanzas de Marlon Brando en Japón. Honesta, divertida y también desgarradora, la escritura de Capote se vuelve más fresca con el paso de los años. Allí donde otros escritores son sepultados en el olvido, Capote se impone con más fuerza y viene a confirmarnos que fue uno de los más grandes cronistas del siglo XX.",es,113,,,LUMEN,2018-03-01
The Magus,John Fowles,Fiction,"WITH AN AFTERWORD FROM THE AUTHOR 'A major work of mounting tensions in which the human mind is the guinea-pig... Mr Fowles has taken a big swing at a difficult subject and his hits are on the bull's eye' Sunday Times On a remote Greek Island, Nicholas Urfe finds himself embroiled in the deceptions of a master trickster. As reality and illusion intertwine, Urfe is caught up in the darkest of psychological games. John Fowles expertly unfolds a tale that is lush with over-powering imagery in a spellbinding exploration of human complexities. By turns disturbing, thrilling and seductive, The Magus is a feast for the mind and the senses.",en,674,,,Random House,2010-10-31
The Vice-Consul,Marguerite Duras,Fiction,,en,192,,,Hamish Hamilton,1968
Wide Sargasso Sea,Jean Rhys,Juvenile Nonfiction,"Hija de un tiempo lejano, obligada a vivir entre las cuatro paredes de unas mansiones siniestras y rodeada por la vegetación lujuriosa de Jamaica, Antoinette Cosway es una mujer que busca crear un mundo propio, a medias entre los modales distinguidos de su familia británica y las vidas misteriosas de los isleños, que llenan la casa de canciones extrañas y conjuros maléficos. Un joven inglés, atraído por la perversa ingenuidad de Antoinette, arriesga su fortuna y su buen nombre casándose con ella, pero después del matrimonio empiezan a circular inquietantes rumores sobre el comportamiento de la esposa",es,0,,,LUMEN,2009-11
Giles Goat Boy,John Barth,Fiction,"From the author of National Book Award-nominated Lost in the Funhouse, comes an outrageously farcical adventure that challenges our notions of technology, power, and human nature. ""[Barth] ran riot over literary rules and conventions, even as he displayed, with meticulous discipline, mastery of and respect for them."" —The New York Times Giles Goat-Boy tells the story of a human boy raised as a goat who comes to believe that he is humanity's prophesied messiah. In an absurdist universe that takes the form of a unversity--divided into an authoritarian East Campus and a more open West Campus--young George Giles rises to assume the title of Grand Tutor, the spiritual leader of the world and heroic defender of his people against the threat of a tyrannical computer system. Hailed as a ""fantasy of theology, sociology, and sex"" (Time magazine), Giles Goat-Boy has long been one of John Barth's most popular and multi-layered narratives.",en,753,,,Anchor,2014-06-25
The Crying of Lot 49,Thomas Pynchon,Fiction,"One of The Atlantic’s Great American Novels of the Past 100 Years “The comedy crackles, the puns pop, the satire explodes.”—The New York Times “The work of a virtuoso with prose . . . His intricate symbolic order [is] akin to that of Joyce’s Ulysses.”—Chicago Tribune “A puzzle, an intrigue, a literary and historical tour de force.”—San Francsisco Examiner The highly original satire about Oedipa Maas, a woman who finds herself enmeshed in a worldwide conspiracy. When her ex-lover, wealthy real-estate tycoon Pierce Inverarity, dies and designates her the coexecutor of his estate, California housewife Oedipa Maas is thrust into a paranoid mystery of metaphors, symbols, and the United States Postal Service. Traveling across Southern California, she meets some extremely interesting characters, and attains a not inconsiderable amount of self-knowledge.",en,134,3.5,8,Penguin,2012-06-13
Things,Georges Perec,,,en,97,,,Editorial Verdehalago,
The River Between,Ngugi wa Thiong'o,Fiction,"La novela más conocida del escritor keniano habla sobre la rebelión, el amor, la amistad y la traición. Ambientada en los años cincuenta y sesenta, en los tiempos de la rebelión del Mau Mau y la consiguiente independencia de Kenia, Un grano de trigo narra la historia de los habitantes de una aldea cuyas vidas han dado un giro diametral. En el epicentro se encuentra Mugo, que a pesar de ser considerado un héroe por todos, vive atormentado por un terrible secreto. Las distintas historias que esconde este misterioso lugar se van desvelando a través de una narrativa que se teje entre el mito y la realidad. Esta novela se revela como una obra maestra donde los compromisos aparecen forzados, las amistades se traicionan y continuamente se pone a prueba el amor. Reseñas: «Esta novela se revela como una obra maestra donde los compromisos aparecen forzados, las amistades se traicionan y continuamente se pone a prueba el amor.» Santi Hurtado, Alta Fidelidad «Ngugi es el escritor africano más célebre. Lo que ofrece es ni más ni menos que un nuevo camino para la escritura africana.» British Book News",es,345,,,DEBOLS!LLO,2017-05-04
August is a Wicked Month,Edna O'Brien,Fiction,"UN ACONTECIMIENTO LITERARIO La última novela de la autora de Las chicas de campo , ganadora del premio Especial Femina Extranjero 2019 y el premio David Cohen 2019 por el conjunto de su obra: su novela más ambiciosa, comprometida y estremecedora. UNO DE LOS MEJORES LIBROS DEL SIGLO XXI SEGÚN THE IRISH TIMES «Un libro valiente sobre un espíritu valiente.» J. M. Coetzee «La escritora de lengua inglesa con más talento de nuestros días.» Philip Roth «Tiempo atrás fui una niña, pero ya no». Así empieza la nueva y sorprendente novela de Edna O'Brien, quien con más de ochenta años ha encontrado la fuerza y la valentía para viajar a Nigeria y entrevistar a varias de las niñas que fueron víctimas de Boko Haram. Su estremecedor testimonio ha inspirado esta novela al tiempo desgarradora y luminosa: la historia de Maryam, que es secuestrada junto con sus compañeras del colegio, encarcelada, violada y obligada a casarse con un desconocido; que debe huir con su bebé y su amiga hasta llegar fi nalmente a reencontrarse con su madre en la aldea, donde la esperan nuevas desventuras aún más sinuosas. O'Brien nos lleva sin aliento por cada página: ansiamos, sufrimos y nos conmovemos con su heroína, y la prosa es deslumbrante e hipnótica como esa luna que mira Maryam desde su celda, símbolo de la esperanza y la redención a pesar de todo. Pues esta es una historia de superación, de amor, amistad y solidaridad, en la que de un modo u otro podemos ver refl ejadas nuestras propias luchas. La crítica ha dicho: «Una novela dura, escrita casi a latigazos y [...] difícil que conviene leer.» Lourdes Pérez (directora El Diario Vasco) «La mayoría de los buenos escritores prefieren ser considerados no por lo que son sino por lo que escriben. La chica, el asombroso tour de force que O'Brien escribió con ochenta y tantos años, es un salto audaz e imaginativo [...] y una experiencia que te transporta lejos, profundamente empática e iluminadora. ¡Léanla! [...] Es una pura maravilla.» Richard Ford «Sería una ofensa para O'Brien reducir la literatura a un mensaje. La chica es un ejemplo perfecto de lo que debería ser la ficción: un acto de imaginación empática.» Charles Taylor, LA Review of Books «Una nueva novela tan sólida como la carrera dorada de esta enorme autora irlandesa. [...] Con su pluma madura, precisa, hondamente literaria, limpia de sobras y adornos, O'Brien logra introducirnos en el infierno moral con un, sin embargo, suave cartel de bienvenida.» Berna González Harbour, Zenda «Una novela con grandes dosis de dureza, pero imprescindible y, sobre todo, con una mirada repleta de esperanza.» Harper's Bazaar «O'Brien logra inyectar suaves dosis de humanidad con una calidad literaria a prueba de terrorismo.» Berna González Harbour, El País «Un relato estremecedor. [...] Una aventura de amor y solidaridad, de una lucha permanente que busca otorgarle un sentido a la experiencia que les toca vivir.» Diego Gándara, La Razón «La habilidad de O'Brien para habitar mentes de sus personajes y elaborar frases virtuosas hace de esta una lectura inmensamente dolorosa. [...] Es la persona ideal para contarnos esta verdad desgarradora.» Francine Prose, The New York Times «No hay autocompasión en la escritura de O'Brien, solo la secuencia de hechos. Así, sus historias tienen el poder universal propio del mito». Florence Noiville, Le Monde",es,226,,,LUMEN,2019-09-19
"God Bless You, Mr. Rosewater",Kurt Vonnegut,Fiction,"“[Vonnegut] at his wildest best.”—The New York Times Book Review Eliot Rosewater—drunk, volunteer fireman, and President of the fabulously rich Rosewater Foundation—is about to attempt a noble experiment with human nature . . . with a little help from writer Kilgore Trout. God Bless You, Mr. Rosewater is Kurt Vonnegut’s funniest satire, an etched-in-acid portrayal of the greed, hypocrisy, and follies of the flesh we are all heir to. “A brilliantly funny satire on almost everything.”—Conrad Aiken “[Vonnegut was] our finest black humorist. . . . We laugh in self-defense.”—The Atlantic Monthly",en,290,4,12,Dial Press,2007-12-18
Everything that Rises Must Converge,Flannery O'Connor,,,es,281,,,,1968
The Passion According to G. H.,Clarice Lispector,Spanish language materials,"La ciudad sitiada relaciona la crónica de la transformación de São Geraldo, ciudad del interior en crecimiento en unos nebulosos años veinte, con el proceso de liberación de Lucrécia Neves, una mujer «sitiada». En su inquieta trayectoria, Lucrécia intentó acercarse a una asociación de jóvenes, fue novia del agresivo Felipe y del bello Perseu, pero se casó con un próspero comerciante, Mateus. Fogosa como un caballo o inalcanzable como una estatua del parque, Lucrécia Neves, sobre los tacones de sus botines, a veces «andaba entre el equilibrio y el desequilibrio, otras se enderezaba sin moverse para no desmoronarse». Pero São Geraldo la asfixiaba. La inevitable modernización de la ciudad sirve de metáfora a la subterránea e inexorable transformación de la mujer.",es,0,,,,2006
Sometimes a Great Notion,Ken Kesey,,,es,416,,,,2005
"Come Back, Dr. Caligari",Donald Barthelme,Literary Criticism,"Donald Barthelme (1931–1989) is regarded as one of the most imitated and influential American fiction writers since the early 1960s. In Donald Barthelme: An Exhibition, Jerome Klinkowitz presents both an appreciation and a comprehensive examination of the life work of this pathbreaking contemporary writer. A blend of close reading, biography, and theory, this retrospective—informed by Klinkowitz’s expert command of postmodern American fiction—contributes significantly to a new understanding of Barthelme’s work. Klinkowitz argues that the central piece in the Barthelme canon, and the key to his artistic method, is his widely acknowledged masterpiece, The Dead Father. In turning to this pivotal work, as well as to Barthelme’s short stories and other novels, Klinkowitz explores the way in which Barthelme reinvented the tools of narration, characterization, and thematics at a time when fictive techniques were largely believed to be exhausted. Klinkowitz, who was one of the first scholars to study Barthelme’s work and became its definitive bibliographer, situates Barthelme’s life and work within a broad spectrum of influences and affinities. A consideration of developments in painting and sculpture, for example, as well as those of contemporaneous fiction, contribute to Klinkowitz’s analysis. This astute reading will provide great insight for readers, writers, and critics of contemporary American fiction seeking explanations and justifications of Barthelme’s critical importance in the literature of our times.",en,172,,,Duke University Press,1991-05-22
Albert Angelo,B. S. Johnson,Fiction,"With an introduction by the writer Toby Litt. The eponymous Albert is an architect by training but a supply teacher out of necessity. Feeling that he is failing at both, and haunted by a failed love affair, he begins to question what he wants to achieve. Using a number of original narrative techniques Johnson attempts to reproduce life (and its travails) as closely as possible through fiction, while at the same time revelling in the impossibility of such a task. A passionate advocate for the avant-garde, B S Johnson said of the acerbically comic and exuberant Albert Angelo that it was where he 'really discovered what he should be doing'. And on page 163 of this extraordinary book is one of the most surprising lines in English fiction. But you should start at the beginning.",en,114,,,Pan Macmillan,2023-06-29
Arrow of God,Chinua Achebe,Fiction,"Historia del sumo sacerdote de Ulu que, armado con sus creencias, está dispuesto a amenazar y aniquilar al sentirse intocable por ser la flecha en el arco de su Dios... Pero su tribu no se lo pondrá tan fácil. Ezeulu, el sumo sacerdote del dios Ulu, es reverenciado en las seis aldeas de Umuaro, pero empieza a ver amenazada su autoridad por sus rivales de la tribu, por el gobierno de los blancos e incluso por su propia famila. Sin embargo, se siente intocable: ¿acaso no es él la flecha en el arco de su dios? Armado con sus creencias, está dispuesto a dirigir a su pueblo aunque eso conlleve destruir y aniquilar, pero quizá el pueblo no se deje dominar tan fácilmente. Reseña: «El escritor en cuya compañía cayeron los muros de la prisión.» Nelson Mandela",es,259,,,DEBOLS!LLO,2012-06-07
Ravishing of Lol Stein,Marguerite Duras,Study Aids,"Unlock the more straightforward side of The Ravishing of Lol Stein with this concise and insightful summary and analysis! This engaging summary presents an analysis of The Ravishing of Lol Stein by Marguerite Duras, an ambitious and innovative novel which follows the titular character’s attempts to rebuild her life after her fiancé leaves her for another woman. The narrative interweaves themes such as memory, madness, adultery and the inability to communicate, resulting in a novel that is engrossing and thought-provoking. Although less well-known than Duras’ later novel The Lover, The Ravishing of Lol Stein is nonetheless critically acclaimed, and was named by the French newspaper Le Monde as one of the 100 best books of the 20th century. Marguerite Duras was a French writer, playwright and filmmaker. She often moved away from the structure and style of traditional fiction in favour of a more abstract approach, making her one of the most influential and innovative authors of the 20th century. Find out everything you need to know about The Ravishing of Lol Stein in a fraction of the time! This in-depth and informative reading guide brings you: • A complete plot summary • Character studies • Key themes and symbols • Questions for further reflection Why choose BrightSummaries.com? Available in print and digital format, our publications are designed to accompany you on your reading journey. The clear and concise style makes for easy understanding, providing the perfect opportunity to improve your literary knowledge in no time. See the very best of literature in a whole new light with BrightSummaries.com!",en,23,,,BrightSummaries.com,2017-05-24
Herzog,Saul Bellow,Fiction,"Este es el retrato multifacético de un héroe de los tiempos modernos, Moses Herzog: bromista, quejoso, encantador y gran sufridor. Aunque su vida se desintegra paulatinamente ante sus ojos -ha fracasado como profesor y como padre, amén de ser abandonado por su mujer en favor de su mejor amigo-, Herzog se ve a sí mismo como un sobreviviente, tanto frente a sus desastres domésticos como al pasar de los años. Ocupa su tiempo escribiendo cartas que nunca serán enviadas, a amigos y enemigos, a colegas y a gente famosa, revelando con ironía sus percepciones del mundo que lo rodea, así como los secretos más profundos de su alma. Saludado como uno de los libros más relevantes de la literatura anglosajona del siglo XX, Herzog catapultó a su autor a pedestales reservados, hasta ese momento, a autores como William Faulkner, Mark Twain o Ernest Hemingway, y le abrió las puertas para obtener el premio Nobel de Literatura.",es,364,,,DEBOLS!LLO,2011-09-15
V.,Thomas Pynchon,Literary Criticism,"This volume is a collection of essays by various academics looking at how identity is shaped, gendered, and contested throughout Pynchon's work. By exploring sociological, anthropological, literary, and political dimensions, the contributors revise important ideas in the debate over individualism using political and feminist theory and examine the different ways in which their writings embody, engage, and critique the official narratives generated by America's culture.",en,268,,,Fairleigh Dickinson Univ Press,2003
Cat's Cradle,Kurt Vonnegut,Fiction,"En este libro nada es cierto. Jonás (o John) se propone investigar qué estaban haciendo los norteamericanos más destacados el día en que se arrojó la bomba en Hiroshima. Las cartas que intercambia con el hijo menor del doctor Felix Hoenikker –uno de los padres de la bomba atómica– lo zambullen en una intriga familiar que oculta la más terrorífica contribución de la ciencia a la humanidad: el hielo nueve. Las respuestas a todas las preguntas están en una isla del Caribe, la república de San Lorenzo, donde el bien y el mal se reparten entre un dictador demente, un genio impasible, una diosa del amor y el fundador del bokononismo, una religión profética y absurda. A Jonás le tocará aprender algo sobre el poder, el horror y la estupidez humana, y sobre las mentiras que nos contamos mientras esperamos el fin del mundo. Eterno escritor de culto, cómico, irreverente y genial, Kurt Vonnegut es una de las figuras insoslayables de la literatura del siglo XX y Cuna de gato, una de sus novelas más celebradas. El momento de leer a Vonnegut es justo cuando se empieza a sospechar que nada es lo que parece. No solo divierte: electrocuta. Y se lo lee con un placer enorme porque te pone los pelos de punta. THE NEW YORK TIMES Vonnegut miró el mundo a los ojos y nunca se inmutó. J.G. BALLARD",es,293,,,La Bestia Equilátera,2020-06-17
The Graduate,Charles Webb,Fiction,"The novel about an aimless young man in 1960s America that inspired the classic film: “Moves with the speed and drive of a runaway locomotive.” —Chicago Sunday Review When Benjamin Braddock graduates from a small eastern college and comes home to his parents’ house, everyone wants to know what he’s going to do with his life. Benjamin has no idea. Feeling empty, embittered, and adrift, he stumbles into an affair with Mrs. Robinson, the wife of his father’s business partner. But then he falls in love with a woman closer to his own age: Mrs. Robinson’s daughter. A scathingly entertaining tale of idealism and materialism, corruption and conformity, The Graduate is both a darkly comic love-triangle tale and a sharp look at postwar suburbia. “He contrives some ludicrously funny situations and he keeps his story racing.” —The New York Times Book Review “His novel makes you want to laugh and it makes you want to cry.” —The Plain Dealer",en,224,,,RosettaBooks,2014-01-09
Manon Des Sources,Marcel Pagnol,Performing Arts,"EL ESTUDIO DE LA RELACIÓN entre literatura y cine se ha limitado generalmente al caso de las adaptaciones a la pantalla de obras literarias. Ese campo resulta hoy insuficiente ante la considerable cantidad de cuestiones implicadas en esa relación: la transmisión de temas y mitos formalizados literariamente, la influencia de modelos genéricos, la apropiación de estrategias narrativas, la presencia del discurso escrito en el fílmico, etc.; o, en un sentido inverso, los débitos de la narrativa, la lírica o el teatro contemporáneos con el cine, su influencia o presencia tanto en el nivel expresivo como en el temático, la práctica, cada vez más frecuente, de la novelización de películas, etc. Dedicados al análisis de un heterogéneo crisol en el que hay cabida para diversas lenguas, literaturas, cinematografías y contextos, los artículos que integran Sobre la adaptación y más allá: trasvases filmoliterarios –surgidos del eje temático dedicado a las relaciones entre literatura y cine del XIX Simposio de la SELGYC (Sociedad Española de Literatura General y Comparada), celebrado en 2012 en la Universidad de Salamanca– se dividen entre los que se ocupan de ese nuevo paradigma y los que confirman la posición hegemónica que, pese a todo, mantienen los análisis adaptativos en el comparatismo filmoliterario.",es,368,,,Ediciones Universidad de Salamanca,2014-10-07
The Spy Who Came in from the Cold,John le Carre,Berlin (Germany),"A la sombra del reciente Muro de Berlín, Alec Leamas asiste al asesinato de su último agente, muerto de un disparo a manos de los guardias de la RDA. Para Leamas, antiguo responsable del espionaje inglés en Alemania Oriental, la guerra fría se ha acabado. Mientras se enfrenta a la perspectiva de retirarse, o aún peor, de trabajar en una oficina, Control le ofrece una oportunidad única para vengarse. Leamas, agente hastiado, será el encargado de atrapar a Mundt, pieza clave de los servicios de inteligencia de la RDA. El mismo Leamas actuará como cebo de la operación. También George Smiley está implicado, preparado para jugar exactamente como Control quiere.",es,0,,,,2020
The Girls of Slender Means,Muriel Spark,,,en,181,,,,1996
Inside Mr. Ender by,Anthony Burgess,Literary Criticism,,en,458,,,Scholarly Title,1985
The Bell Jar,Sylvia Plath,Fiction,"Única obra narrativa de la gran poeta norteamericana, ésta es una novela sobre la adolescencia, un retrato de la artista adolescente y de las dificultades que debe salvar para encontrar un lugar propio en un mundo plagado de hostilidades.",en,272,,,,1989
One Day in the Live of Ivan Denisovitch,Alexander Solzhenitsyn,Fiction,"For the centenary of the Russian Revolution, a new edition of the Russian Nobel Prize-winning author's most accessible novel One Day in the Life of Ivan Denisovich is an undisputed classic of contemporary literature. First published (in censored form) in the Soviet journal Novy Mir in 1962, it is the story of labor-camp inmate Ivan Denisovich Shukhov as he struggles to maintain his dignity in the face of communist oppression. On every page of this graphic depiction of Ivan Denisovich's struggles, the pain of Aleksandr Solzhenitsyn's own decade-long experience in the gulag is apparent—which makes its ultimate tribute to one man's will to triumph over relentless dehumanization all the more moving. An unforgettable portrait of the entire world of Stalin's forced-work camps, One Day in the Life of Ivan Denisovich is one of the most extraordinary literary works to have emerged from the Soviet Union. The first of Solzhenitsyn's novels to be published, it forced both the Soviet Union and the West to confront the Soviet's human rights record, and the novel was specifically mentioned in the presentation speech when Solzhenitsyn was awarded the Nobel Prize in Literature in 1970. Above all, One Day in the Life of Ivan Denisovich establishes Solzhenitsyn's stature as ""a literary genius whose talent matches that of Dostoevsky, Turgenev, Tolstoy"" (Harrison Salisbury, The New York Times). This unexpurgated, widely acclaimed translation by H. T. Willetts is the only translation authorized by Solzhenitsyn himself.",en,191,1,2,"Farrar, Straus and Giroux",2005-03-16
The Collector,John Fowles,Fiction,,en,349,,,El Aleph Editores,2002-01-01
One Flew Over the Cuckoo's Nest,Ken Kesey,,,es,416,,,,2005
A Clockwork Orange,Anthony Burgess,Juvenile Nonfiction,,es,224,,,,2007-03
Pale Fire,Vladimir Nabokov,Fiction,"Nos hallamos ante una obra maestra, un «tour de force», una novela originalísima, desconcertante y diabólicamente divertida, que figura entre las preferidas de su propio autor y en la que refulge, de forma inigualable, su alambicada ironía y su mortífero humor. ""Pálido fuego"" se presenta como la edición póstuma de un largo poema escrito por John Shade, gloria de las letras norteamericanas, poco antes de ser asesinado. En efecto, la novela consta del susodicho poema, más un prólogo, un voluminosísimo corpus de notas y un índice comentado del editor, el profesor Charles Kinbote. A través de sus prolijos y entrometidos comentarios sobre el poema, sobre su amistad con Shade los meses anteriores a su muerte, y sobre el lejano reino de Zembla, que tan precipitadamente tuvo que abandonar, Kinbote va trazando un hilarante autorretrato, en el que acaba por delatarse como un individuo intolerante y altivo, excéntrico y perverso, un auténtico y peligroso chiflado. En este sentido, podría decirse que ""Pálido fuego"" es también una novela de intriga, en la que al lector se le invita a tomar el papel de detective.",es,0,,,Anagrama,1992
The Drowned World,J. G. Ballard,Fiction,"El escenario es los pantanos, lagunas y junglas subtropicales que cubren la mayor parte de la superficie terrestre a causa de un aumento en el calor del sol. La vida animal y vegetal está volviendo a la edad triásica... Pero los acontecimientos principales ocurren en los niveles más profundos de la mente, y el mérito principal del libro es el extraordinario poder imaginativo con que estos niveles son exteriorizados en formas concretas.",es,224,,,,2008-03
